"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Navigating directly to the inventory page without logging in is rejected","1012","Verify that navigating directly to the inventory page without logging in is rejected","","2026-09-14","passed","2026-09-14","","com.swaglabs.tests.LoginTests","com.swaglabs.tests.LoginTests","cannotAccessInventoryPageDirectlyWithoutLogin"
"Invalid credentials are rejected with the exact Swag Labs error message","1104","invalidLoginIsRejected(String, String, String) Verify that login is rejected for standard_user","","2026-09-14","passed","2026-09-14","","com.swaglabs.tests.LoginTests","com.swaglabs.tests.LoginTests","invalidLoginIsRejected"
"Checkout step one rejects submission when the first name is missing","1940","Verify that checkout step one rejects submission when the first name is missing","","2026-09-14","passed","2026-09-14","","com.swaglabs.tests.CheckoutTests","com.swaglabs.tests.CheckoutTests","checkoutRequiresFirstName"
"A user can log out and log back in with the same credentials","1975","Verify that a user can log out and log back in with the same credentials","","2026-09-14","passed","2026-09-14","","com.swaglabs.tests.LoginTests","com.swaglabs.tests.LoginTests","canLogOutAndLogBackIn"
"Checkout step one rejects submission when the last name is missing","2037","Verify that checkout step one rejects submission when the last name is missingg","","2026-09-14","passed","2026-09-14","","com.swaglabs.tests.CheckoutTests","com.swaglabs.tests.CheckoutTests","checkoutRequiresLastName"
"Back Home from the order confirmation page returns to the full inventory","2249","Verify that Back Home from the order confirmation page returns to the full inventory","","2026-09-14","passed","2026-09-14","","com.swaglabs.tests.CheckoutTests","com.swaglabs.tests.CheckoutTests","backHomeFromConfirmationReturnsToProducts"
"Inventory page lists all six seeded products","1153","Verify that the inventory page lists all six seeded products","","2026-09-14","passed","2026-09-14","","com.swaglabs.tests.ProductTests","com.swaglabs.tests.ProductTests","productsPageListsSixItems"
"A standard user can log in and lands on the products page","1203","Verify that a standard user can log in and land on the products page","","2026-09-14","passed","2026-09-14","","com.swaglabs.tests.LoginTests","com.swaglabs.tests.LoginTests","standardUserCanLogIn"
"Sorting by price, high to low, puts the priciest item first","1274","Verify that sorting by price high to low puts the priciest item first","","2026-09-14","passed","2026-09-14","","com.swaglabs.tests.ProductTests","com.swaglabs.tests.ProductTests","canSortProductsByPriceHighToLow"
"A full checkout with valid buyer info completes and shows the confirmation page","1993","Verify that a full checkout with valid buyer info completes and shows the confirmation page","","2026-09-14","passed","2026-09-14","","com.swaglabs.tests.CheckoutTests","com.swaglabs.tests.CheckoutTests","canCompleteCheckoutWithValidInfo"
